Pair,Asset A,Asset B,Beta,ADF Stat,Half Life,Hurst,Zero Cross,Correlation
HINDUNILVR-HDFCBANK,HINDUNILVR,HDFCBANK,3.343816332308782,-1.8989658935051312,112.75295523925567,0.4882428098275812,27,0.3497592157482866
AXISBANK-SUNPHARMA,AXISBANK,SUNPHARMA,0.3703695977802133,-3.0193482323528658,38.871128435901575,0.48849343015072577,52,0.7536866187511839
KOTAKBANK-AXISBANK,KOTAKBANK,AXISBANK,0.21772601993956564,-2.411038872030335,89.4404242491599,0.4888140293799793,14,0.1226424315670509
OFSS-AUROPHARMA,OFSS,AUROPHARMA,-3.0136437541306904,-1.5165398021897623,118.79599428388289,0.48904832097079054,27,-0.5581169744267676
AXISBANK-JSWSTEEL,AXISBANK,JSWSTEEL,-0.20888401022540365,-2.353235008133192,67.11574239151474,0.4890884495999346,20,-0.30799150446615414
DRREDDY-JSWENERGY,DRREDDY,JSWENERGY,-0.42412091427256354,-2.2414931895288945,72.48261518031784,0.4890988768005027,30,-0.4212932777148904
HINDUNILVR-RELIANCE,HINDUNILVR,RELIANCE,-1.4292822446317417,-1.8996862286664222,101.4075815688677,0.4891876860503403,35,-0.5466458113168713
OFSS-ICICIBANK,OFSS,ICICIBANK,1.594290481856689,-0.725775450297006,360.40408822721423,0.4893417074874768,27,0.10779960779639962
NTPC-ONGC,NTPC,ONGC,0.8519766293081896,-2.7390762058054365,77.47839888182155,0.4893633450369913,21,0.5674236147645755
KOTAKBANK-SHRIRAMFIN,KOTAKBANK,SHRIRAMFIN,-0.21529596002967316,-1.9259986064988937,103.33788454304604,0.4895213318434934,32,-0.26056326922681583
CIPLA-TATAPOWER,CIPLA,TATAPOWER,2.1213006687648734,-2.286751842310862,79.09439208492584,0.4895612701919896,58,0.5588173910743596
SBICARD-ASHOKLEY,SBICARD,ASHOKLEY,-1.3536500292935487,-3.114742412232809,41.17326724472803,0.4899141343513334,36,-0.6261565741154075
